district,sex,age-group,frequence-weight,sub-totals
D1-hk,Male,18-20,8018,
D2-kw,Male,18-20,7344,
D3-ke,Male,18-20,9993,
D4-ntw,Male,18-20,19531,
D5-nte,Male,18-20,18001,62887
D1-hk,Female,18-20,7676,
D2-kw,Female,18-20,6916,
D3-ke,Female,18-20,9780,
D4-ntw,Female,18-20,18402,
D5-nte,Female,18-20,17286,60060
D1-hk,Male,21-25,17281,
D2-kw,Male,21-25,14817,
D3-ke,Male,21-25,21856,
D4-ntw,Male,21-25,43880,
D5-nte,Male,21-25,39360,137194
D1-hk,Female,21-25,16510,
D2-kw,Female,21-25,14160,
D3-ke,Female,21-25,20518,
D4-ntw,Female,21-25,40891,
D5-nte,Female,21-25,37028,129107
D1-hk,Male,26-30,17406,
D2-kw,Male,26-30,14465,
D3-ke,Male,26-30,19163,
D4-ntw,Male,26-30,40086,
D5-nte,Male,26-30,37758,128878
D1-hk,Female,26-30,17511,
D2-kw,Female,26-30,14177,
D3-ke,Female,26-30,17789,
D4-ntw,Female,26-30,37345,
D5-nte,Female,26-30,36158,122980
D1-hk,Male,31-35,19518,
D2-kw,Male,31-35,15542,
D3-ke,Male,31-35,18594,
D4-ntw,Male,31-35,40030,
D5-nte,Male,31-35,38506,132190
D1-hk,Female,31-35,19676,
D2-kw,Female,31-35,15132,
D3-ke,Female,31-35,17181,
D4-ntw,Female,31-35,38178,
D5-nte,Female,31-35,37630,127797
D1-hk,Male,36-40,21494,
D2-kw,Male,36-40,17553,
D3-ke,Male,36-40,18989,
D4-ntw,Male,36-40,41402,
D5-nte,Male,36-40,35713,135151
D1-hk,Female,36-40,22510,
D2-kw,Female,36-40,18524,
D3-ke,Female,36-40,18953,
D4-ntw,Female,36-40,40210,
D5-nte,Female,36-40,35754,135951
D1-hk,Male,41-45,24589,
D2-kw,Male,41-45,20730,
D3-ke,Male,41-45,21570,
D4-ntw,Male,41-45,42501,
D5-nte,Male,41-45,35307,144697
D1-hk,Female,41-45,27622,
D2-kw,Female,41-45,22579,
D3-ke,Female,41-45,23991,
D4-ntw,Female,41-45,46087,
D5-nte,Female,41-45,39929,160208
D1-hk,Male,46-50,25761,
D2-kw,Male,46-50,20495,
D3-ke,Male,46-50,23967,
D4-ntw,Male,46-50,43294,
D5-nte,Male,46-50,36469,149986
D1-hk,Female,46-50,29778,
D2-kw,Female,46-50,22586,
D3-ke,Female,46-50,27315,
D4-ntw,Female,46-50,51482,
D5-nte,Female,46-50,44994,176155
D1-hk,Male,51-55,33364,
D2-kw,Male,51-55,23891,
D3-ke,Male,51-55,31720,
D4-ntw,Male,51-55,59236,
D5-nte,Male,51-55,52454,200665
D1-hk,Female,51-55,36666,
D2-kw,Female,51-55,25993,
D3-ke,Female,51-55,35547,
D4-ntw,Female,51-55,66356,
D5-nte,Female,51-55,61693,226255
D1-hk,Male,56-60,34542,
D2-kw,Male,56-60,24754,
D3-ke,Male,56-60,31704,
D4-ntw,Male,56-60,63225,
D5-nte,Male,56-60,59351,213576
D1-hk,Female,56-60,37041,
D2-kw,Female,56-60,25598,
D3-ke,Female,56-60,33135,
D4-ntw,Female,56-60,63114,
D5-nte,Female,56-60,61267,220155
D1-hk,Male,61-65,29832,
D2-kw,Male,61-65,21266,
D3-ke,Male,61-65,24965,
D4-ntw,Male,61-65,49934,
D5-nte,Male,61-65,46041,172038
D1-hk,Female,61-65,31676,
D2-kw,Female,61-65,22753,
D3-ke,Female,61-65,27374,
D4-ntw,Female,61-65,49526,
D5-nte,Female,61-65,45113,176442
D1-hk,Male,66-70,25226,
D2-kw,Male,66-70,18201,
D3-ke,Male,66-70,20527,
D4-ntw,Male,66-70,37005,
D5-nte,Male,66-70,32404,133363
D1-hk,Female,66-70,26118,
D2-kw,Female,66-70,19070,
D3-ke,Female,66-70,22717,
D4-ntw,Female,66-70,34574,
D5-nte,Female,66-70,29274,131753
D1-hk,Male,71+,45035,
D2-kw,Male,71+,38462,
D3-ke,Male,71+,48581,
D4-ntw,Male,71+,59996,
D5-nte,Male,71+,46799,238873
D1-hk,Female,71+,50430,
D2-kw,Female,71+,41346,
D3-ke,Female,71+,56045,
D4-ntw,Female,71+,57178,
D5-nte,Female,71+,47672,252671
